🐦️｜自用多多,#genre#
Q124553340,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao13_2/index.m3u8?BR=td&region=shanghai
备用,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_237787110&response=res&format=mp4|mkv&type=convert_url
备用0,https://vd2.bdstatic.com/mda-ndpg29kxui1g1xrj/sc/cae_h264_delogo/1650799724379445533/mda-ndpg29kxui1g1xrj.mp4
备用1,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao01_2/index.m3u8
备用2,http://52bsj.vip:81/api/v3/file/get/97712/%E4%B8%96%E7%95%8C%E7%AC%AC%E4%B8%80%E7%AD%891080P.mp4?sign=yfyEXgwHSQyoHzhqxAr-bxqgEtzxwmitGkOVfWPDKIY%3D%3A0
备用3,http://52bsj.vip:81/api/v3/file/get/97713/ba22f6ad1be11c9679f19bc8d866da15.mp4?sign=7T4la_UuJ8JzHAVur7ltNQwo6MqSkg5lQ6u2yh3XjOU%3D%3A0

🇨🇳｜央视频道,#genre#
CCTV1,http://iptva.cn/api/M3u8/Index?id=597&card=99982475359
CCTV2,http://iptva.cn/api/M3u8/Index?id=598&card=99982475359
CCTV3,http://iptva.cn/api/M3u8/Index?id=599&card=99982475359
CCTV4,http://iptva.cn/api/M3u8/Index?id=600&card=99982475359
CCTV5,http://iptva.cn/api/M3u8/Index?id=601&card=99982475359
CCTV5+,http://iptva.cn/api/M3u8/Index?id=602&card=99982475359
CCTV6,http://iptva.cn/api/M3u8/Index?id=603&card=99982475359
CCTV7,http://iptva.cn/api/M3u8/Index?id=604&card=99982475359
CCTV8,http://iptva.cn/api/M3u8/Index?id=605&card=99982475359
CCTV9,http://iptva.cn/api/M3u8/Index?id=606&card=99982475359
CCTV10,http://iptva.cn/api/M3u8/Index?id=607&card=99982475359
CCTV11,http://iptva.cn/api/M3u8/Index?id=608&card=99982475359
CCTV12,http://iptva.cn/api/M3u8/Index?id=609&card=99982475359
CCTV13,http://iptva.cn/api/M3u8/Index?id=610&card=99982475359
CCTV14,http://iptva.cn/api/M3u8/Index?id=611&card=99982475359
CCTV15,http://iptva.cn/api/M3u8/Index?id=612&card=99982475359
CCTV16,http://iptva.cn/api/M3u8/Index?id=613&card=99982475359
CCTV17,http://iptva.cn/api/M3u8/Index?id=614&card=99982475359



CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV3,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV5+,http://live.cooltv.top/tv/aishang.php?id=cctv5p
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV10,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14,http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15,http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv164k4K
CCTV17,http://live.cooltv.top/tv/aishang.php?id=cctv17hd




CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV1,http://218.29.55.44:808/hls/1/index.m3u8
CCTV1,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8


CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV2,http://39.184.224.99:9080/newlive/live/hls/2/live.m3u8
CCTV2,http://218.29.55.44:808/hls/2/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://cm.wshls.homecdn.com/live/11ecc.m3u8

CCTV3 综艺,http://39.184.224.99:9080/newlive/live/hls/3/live.m3u8
CCTV3 综艺,http://lu1.cc/itv/sjtv/p/migu.php?id=cctv3
CCTV3 综艺,http://hls.ye23.vip/hls/cctv3hd.m3u8
CCTV3 综艺,http://39.184.224.99:9080/newlive/live/hls/3/live.m3u8
CCTV3 综艺,http://218.29.55.44:808/hls/3/index.m3u8

CCTV3,http://yfsl.vsd.gehua.net.cn/live/CCTV3HD_1200.m3u8

CCTV4,http://39.184.224.99:9080/newlive/live/hls/4/live.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://218.29.55.44:808/hls/4/index.m3u8

CCTV5,http://39.184.224.99:9080/newlive/live/hls/5/live.m3u8
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://218.29.55.44:808/hls/5/index.m3u8
CCTV5,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv5_2/index.m3u8
CCTV5,http://lu1.cc/itv/sjtv/p/migu.php?id=cctv5
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5,http://111.29.9.37:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
